ingredient1,ingredient2,recipe_id,partition
meat,roll,04589f3987,train
water,artichoke,045a580b2b,test
spanish_olive,cauliflower_floret,045c6087ea,train
black_olive,spanish_olive,045c6087ea,train
corn,corn_tortilla,04789a4f42,train
flour,corn,04789a4f42,train
bread,waffle,047c1d731c,train
thyme,dill,047cb0cafb,train
horseradish,thyme,047cb0cafb,train
mustard,horseradish,047cb0cafb,train
potato_chip,mustard,047cb0cafb,train
toast,bread,0480eaf337,test
nutmeg,onion,048342d9d5,train
yogurt,cream_cheese,0485e74572,val
heavy_cream,milk,0485e74572,val
minute_rice,long_grain_rice,048ecf6f8d,test
cannellini_bean,lima_bean,0499730742,val
pecan,breadcrumb,049c042e15,train
spinach,sole,04a0c0efc4,val
bok_choy,spinach,04a0c0efc4,val
soy_sauce,ginger,04a0c0efc4,val
ginger,sesame_oil,04a0c0efc4,val
chicken,fennel,04a26f7153,train
cod,salt,04a6d398a4,train
cinnamon,lemon_zest,04ae119902,train
chili,tortilla,04b2a1cc2d,train
vanilla,almond_extract,04b7f06040,train
cookie,caramel,04b7f06040,train
tortellini,cavatelli,04ba0806f3,train
kidney_bean,pinto_bean,04d4dfbbea,train
black_bean,kidney_bean,04d4dfbbea,train
french_bean,corn,04d722a612,train
carrot,french_bean,04d722a612,train
mayonnaise,miracle_whip,04dba47456,train
ham,cheese,04dfa5c21a,train
cheese,croissant,04dfa5c21a,train
sausage,kielbasa,04e34dd7f6,test
lemon_juice,lime_juice,04e4b57d39,train
jar,pasta_sauce,04f055abb3,val
fat,butter,04f57dc707,val
chocolate,nutmeg,04fc0e7090,train
white_chocolate,chocolate,04fc0e7090,train
raspberry,blueberry,0503b9cd63,train
blackberry,raspberry,0503b9cd63,train
butter,peanut_butter,0518052485,train
fat,butter,0518052485,train
shortening,butter,051e11053d,test
flour,shortening,051e11053d,test
wine,fruit_juice,0520890229,train
butter,squash,052cecc1f4,train
pasta,butter,052cecc1f4,train
tomato_juice,juice,0530872854,train
brown_sugar,honey,0539eeb7f4,train
bottled_water,dry_milk,053cbd7571,train
milk,bottled_water,053cbd7571,train
olive_oil,fat,053fc5e0f1,train
vegetable_broth,shrimp,05417c4db4,train
lobster,vegetable_broth,05417c4db4,train
broth,lobster,05417c4db4,train
oil,water,0548d376c2,train
almond,almond_milk,055557738c,train
vegetable,meat,0559242f08,train
bean,vanilla_extract,05633ffad6,test
milk,bean,05633ffad6,test
smoked_oyster,chicken_liver,05654ab215,train
sour_cream,yogurt,056ed05e3e,train
yogurt,sour_cream,056ed05e3e,train
berry,fruit,057f911582,train
tangerine,grand_marnier,05813c190e,train
almond,lemon_basil,05879439f9,train
basil,frozen_spinach,058847bff9,train
puree,apple,0592ea5d1b,train
pear,puree,0592ea5d1b,train
water,whey,059bc2e4c5,test
bread,water,059bc2e4c5,test
bean,salsa,05a69f53c8,val
bacon_grease,bean,05a69f53c8,val
cinnamon,pumpkin_pie_spice,05a6d7cd7c,train
tea,mango,05aacbe50d,train
black_tea,tea,05aacbe50d,train
bread,soup,05ae10014b,train
bean,bread,05ae10014b,train
green_onion,chive,05b04a43d6,train
apple,bosc_pear,05b66fbc80,train
milk,half_and_half,05c09c5ce6,train
egg,milk,05c09c5ce6,train
bread,crouton,05c09c5ce6,train
garlic,cheese,05c09c5ce6,train
crouton,garlic,05c09c5ce6,train
egg,bread,05c09c5ce6,train
water,orange_juice,05c0f75760,train
biscuit_mix,water,05c0f75760,train
chile,green,05c13c04dc,val
bell_pepper,chile,05c13c04dc,val
paper_baking_cup,muffin,05c65ab778,val
vegetable_stock,olive_oil,05cd17a8e4,train
yogurt,vegetable_stock,05cd17a8e4,train
cream,yogurt,05cd17a8e4,train
hot_sauce,cayenne_pepper,05d2294dc4,train
yeast_extract,fresh_herb,05dc10bc54,val
cheese,yeast_extract,05dc10bc54,val
flour,powdered_sugar,05ddc8b41f,train
roll,flour,05ddc8b41f,train
cookie_dough,roll,05ddc8b41f,train
basil,thyme,05ea5d52c9,train
parsley,basil,05ea5d52c9,train
thyme,parsley,05ea5d52c9,train
milk,evaporated_milk,05eb86a9e8,train
white_sugar,brown_sugar,05eb86a9e8,train
chuck,chicken_bouillon_powder,05ee5f780f,test
chicken_bouillon_powder,beef,05ee5f780f,test
butter,corn_flake_crumb,05f0a82d26,train
silken_tofu,liquor,05f9fcba56,train
chicken_bouillon_powder,vegetable_bouillon,0600c10ad5,train
milk,water,0600daa01c,train
sugar,milk,0600daa01c,train
egg,fat,0601731fb6,train
butter,egg,0601731fb6,train
egg,banana,0603bac6a2,train
potato,macaroni_noodle,060cf5262d,train
apricot,peach,060e52c082,train
zucchini,potato,060e814760,train
tomato_sauce,tomato_puree,0612cef3a8,test
cold_water,sparkling_water,06254ede42,train
anchovy,lemon,062f4127d8,train
butter,anchovy,062f4127d8,train
garlic_salt,cumin,063086b34c,train
curry_powder,garlic_salt,063086b34c,train
white_chocolate_chip,dark_chocolate_chip,0633453f63,train
roast,pepper,063d483a44,train
red_salmon,pink_salmon,063f611326,train
butter,oil,063f611326,train
vanilla,chocolate,063fd0243e,train
asparagus,onion,0641e6b655,train
vegetable_oil,apple,064514bf38,train
egg_white,vegetable_oil,064514bf38,train
orange_juice,apple_juice,0649eb684f,val
canned_artichoke_heart,mushroom,064f3f474e,val
italian_dressing,canned_artichoke_heart,064f3f474e,val
chocolate,coffee,0652256833,train
spam,rice,0660670c45,val
whipped_cream,butter,06684900d9,train
roast,asparagus,0670af90f0,train
pancetta,bacon,067a00402d,train
cream_of_tartar,meringue,0682771f9d,train
cornstarch,cream_of_tartar,0682771f9d,train
sea_scallop,fish,068a4c1d08,train
lemon_zest,vermouth,068a4c1d08,train
orange_zest,lemon_zest,068a4c1d08,train
dry_white_wine,white_wine,068a4c1d08,train
vermouth,dry_white_wine,068a4c1d08,train
coffee,water,06922f8fc9,train
cucumber,matzo,069bba8663,train
chocolate_chip,sliced_almond,06a2dd724e,train
pork_chop,paper,06a46c09aa,train
shrimp,fried_tofu,06a9629627,train
vanilla_pudding_mix,vanilla,06abf1406f,train
chicken_broth,turkey_dripping,06b04f8feb,train
dripping,chicken_broth,06b04f8feb,train
spinach,sorrel,06bb808693,train
fudge,chocolate_chip,06be929e23,train
icing,fudge,06be929e23,train
sirloin,extra_lean_ground_beef,06c88276c2,train
almond,pistachio,06d388ee71,train
lamb,pork_chop,06dacbc1cc,train
cornstarch,powdered_sugar,06dd7eb558,train
mashed_potato,oyster,06ecd16398,train
oyster,potato,06ecd16398,train
leek,onion,06ecf395ac,val
oyster,shrimp,06ecf395ac,val
shrimp,scallop,06ecf395ac,val
dill,cream_cheese,06f0cc8e8c,train
caraway_seed,dill,06f0cc8e8c,train
powdered_sugar,pasta,06f7b98bb4,train
flour,powdered_sugar,06f7b98bb4,train
parmesan_cheese,feta_cheese,06f8096c70,train
ground_beef,stew_meat,06f89ca6b5,test
chicken,ground_beef,06f89ca6b5,test
shrimp,clam,0701534710,train
dijon_mustard,crabmeat,07069038ef,train
dry_mustard,dijon_mustard,07069038ef,train
garlic_powder,garlic,07069038ef,train
stock,squash_puree,0707ddec0d,train
peanut,coconut,07121d8ce7,train
coconut,peanut,07121d8ce7,train
preserve,marmalade,0719f95926,train
sour_cream,fat,072038788b,train
prune,raisin,0728f4262c,train
stock,savory,072df0db80,train
flour,merlot,0730754fa6,val
water,flour,0730754fa6,val
water,beef_broth,0730754fa6,val
milk,fat,07350caf75,train
whipping_cream,milk,07350caf75,train
stock,corn,073947c33d,train
chicken_stock,stock,073947c33d,train
puree,meat,073947c33d,train
corn,puree,073947c33d,train
plain_yogurt,cream,073dcc47fb,train
water,chicken_broth,074ae496d8,train
oyster,water,074ae496d8,train
potato,sauerkraut,074d4ae2bc,train
jar,potato,074d4ae2bc,train
chicken,turkey_broth,0756155a81,test
apple,nutmeg,0759e0243a,test
fruit,apple,0759e0243a,test
pie_filling,fruit,0759e0243a,test
chicken,ham,075c0d27d7,train
tuna,chicken,075c0d27d7,train
cinnamon,allspice,07652ed5a9,train
parsley,fresh_cilantro,076709e1a8,val
shrimp,sausage,0768708ab2,val
vegetable,penne,0768708ab2,val
spicy_tomato_sauce,vegetable,0768708ab2,val
shrimp,spicy_tomato_sauce,0768708ab2,val
cheesecake,sugar,076ee27181,train
flavoring,cheesecake,076ee27181,train
vanilla,flavoring,076ee27181,train
cheesecake,vanilla,076ee27181,train
extract,cheesecake,076ee27181,train
cranberry,cherry,0771dd7424,val
raisin,cranberry,0771dd7424,val
fillet,chicken_breast,07766eea3f,val
prawn,fillet,07766eea3f,val
pea,frozen_mixed_vegetable,0777c7fefb,val
carrot,pea,0777c7fefb,val
wafer,pudding,077b63dab3,val
flour,wafer,077b63dab3,val
chocolate,water,07939602b1,train
bittersweet_chocolate,milk_chocolate,07939602b1,train
heavy_cream,milk,07a9f67625,test
orange,celery,07afbaa487,train
oil,orange,07afbaa487,train
fresh_lime_juice,oil,07afbaa487,train
lemon_juice,fresh_lime_juice,07afbaa487,train
chicken_broth,dry_white_wine,07b4d9c5f7,train
rice,noodle,07b923e5a7,val
barley,rice,07b923e5a7,val
cream_cheese,boursin_cheese,07c561b926,test
pastry_flour,flour,07c831661c,train
flour,pastry_flour,07c831661c,train
powdered_sugar,roll,07cd8dce76,val
cocoa,powdered_sugar,07cd8dce76,val
granulated_sugar,cocoa,07cd8dce76,val
pomegranate_juice,pomegranate,07d2245379,train
chicken,vegetable_broth,07d4923d57,train
coconut_milk,rice,07da6b2b86,test
water,coconut_milk,07da6b2b86,test
stick,crab,07de611c89,train
achiote,achiote_paste,07e2615979,train
seed,achiote,07e2615979,train
orange,orange_juice,07e362bc2d,train
chicken,gravy,07e8193bfb,train
fruit_juice,wine,07ebe8f969,train
olive_oil,bacon,07f1bb2752,train
butter,olive_oil,07f1bb2752,train
wasabi,butter,07f1bb2752,train
vegetable_broth,bouillon,07f1f44545,train
plain_flour,baking_mix,07f4406266,train
water,cherry_juice,0801b080c0,train
cherry,water,0801b080c0,train
pecan,cherry,0801b080c0,train
ham,turkey,0802e24ba0,val
beef,ham,0802e24ba0,val
fruit,chicken_stock,080768b46c,train
chocolate_chip,chip,0807987030,train
sour_cream,yoghurt,08099071a2,train
clotted_cream,sour_cream,08099071a2,train
calvados,apple,0818baea01,train
cucumber,cheese,081aee7402,val
orange,chocolate_chip,081f77f2fe,train
cooky,orange,081f77f2fe,train
orange_zest,cooky,081f77f2fe,train
berry,peach,0824baf51d,train
apricot,berry,0824baf51d,train
flour,cornmeal,082d0d56fd,train
paper_towel,coffee,082d318f83,val
cheesecloth,paper_towel,082d318f83,val
corn_syrup,pure_maple_syrup,08330008ce,train
vegetable,cabbage,0838d467e3,train
choy_sum,vegetable,0838d467e3,train
bread,muffin,0839d5fc24,train
flour,bread,0839d5fc24,train
water,tomato_juice,08408a6374,test
almond_extract,orange_juice,0840ef9060,train
pork,ground_beef,0851c75a3c,train
meat,pork,0851c75a3c,train
olive_oil,butter,0851dd1704,train
butter,olive_oil,0851dd1704,train
chicken,beef,085c55e6c8,train
pork,chicken,085c55e6c8,train
fresh_mango,peach,08641bd8bc,test
boiling_water,tomato,0864388eef,test
light_soy_sauce,fish_sauce,086fe333a0,test
roasted_pepper,jar,087f7f7103,train
roasted_red_pepper,roasted_pepper,087f7f7103,train
tart_shell,cooky,088a16d7ae,train
ground_cumin,sage,088a7dcb68,train
brown_sugar,honey,088a7dcb68,train
condensed_milk,cream_cheese,089090ebbd,train
bread,egg_yolk,089a256556,train
waffle_cone,sorbet,089b3468a1,train
onion_powder,onion,089ea1fae3,test
cilantro,oregano,08a905f42f,train
sesame_oil,hot_chili_oil,08b0ef50da,train
liquid,cheese,08b1ad5d5e,train
milk,liquid,08b1ad5d5e,train
sriracha_sauce,sambal_oelek,08b3f1a303,train
water,peach_juice,08b5b3dc34,train
water,juice,08b5b3dc34,train
dried_cranberry,muffin,08b908e857,train
frozen_fruit,fresh_fruit,08beaf455a,val
fruit_juice,frozen_fruit,08beaf455a,val
sausage,pork_sausage,08bf67c9e9,test
oxtail,meat,08c481f516,train
green_pepper,zucchini,08caa4ee44,train
celery,cream,08cefe9339,train
mushroom_soup,celery,08cefe9339,train
cream_of_mushroom_soup,mushroom_soup,08cefe9339,train
liquid,vegetable,08d8deed77,val
vegetable,cold_water,08d8deed77,val
cilantro,soup,08e3afbaf0,train
chive,cilantro,08e3afbaf0,train
almond,nut,08f4286ea2,val
egg,egg_substitute,08f81373e0,train
honey,powdered_sugar,08f8c262c1,train
kosher_salt,salt,08fcac1c1e,train
canned_tuna,crabmeat,0901285cdd,train
walnut,chickpea,0909a96472,val
raspberry,strawberry,090dffe226,train
prune,applesauce,091172d10d,train
squash,prune,091172d10d,train
dark_beer,chili,091ab91cd6,train
beef_broth,dark_beer,091ab91cd6,train
beef,ground_turkey,091ab91cd6,train
fresh_herb,dried_italian_seasoning,091e3abce4,train
almond,espresso,091eb2fd5f,val
fudge,almond,091eb2fd5f,val
hazelnut,fudge,091eb2fd5f,val
rice,potato,0923f6d70c,val
potato,cooked_pasta,0923f6d70c,val
cookie_cutter,shortbread,09240e183e,train
pineapple_chunk,green_pepper,092cea4579,test
shiitake_mushroom,shimeji_mushroom,09317750cc,train
spinach,shiitake_mushroom,09317750cc,train
chicken,leek,093bd270cc,train
leek,onion,093bd270cc,train
onion,leek,093bd270cc,train
green_bean,vegetable,093bd270cc,train
graham_cracker_crumb,gluten,093e990908,train
mayonnaise,plain_yogurt,0947237b8f,train
salad_dressing,mayonnaise,0947237b8f,train
anjou_pear,pear,094c45884e,test
apple,anjou_pear,094c45884e,test
